file_name,crop_index,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,WRONG
GEORGES_BRAQUE_14.jpg,0,944,240,1268,240,944,786,1268,786,False
GEORGES_BRAQUE_14.jpg,1,61,89,1196,89,61,1016,1196,1016,False
GEORGES_BRAQUE_45.jpg,0,124,509,3186,509,124,4050,3186,4050,False
JAN_VERMEER_13.jpg,0,195,261,790,261,195,1248,790,1248,False
JAN_VERMEER_13.jpg,1,400,264,827,264,400,832,827,832,False
JAN_VERMEER_13.jpg,2,515,894,891,894,515,974,891,974,False
JAN_VERMEER_13.jpg,3,125,267,675,267,125,722,675,722,False
JAN_VERMEER_13.jpg,4,453,709,678,709,453,910,678,910,False
JAN_VERMEER_13.jpg,5,430,946,1091,946,430,1248,1091,1248,False
JAN_VERMEER_13.jpg,6,426,499,526,499,426,824,526,824,False
ANDREA_MANTEGNA_15_WRONG.jpg,0,8,89,1000,89,8,1245,1000,1245,True
GIORGIO_DE_CHIRICO_11.JPG,0,799,41,837,41,799,85,837,85,False
GIORGIO_DE_CHIRICO_11.JPG,1,811,682,1209,682,811,891,1209,891,False
DANTE_GABRIEL_ROSSETTI_21.jpg,0,647,359,1761,359,647,2285,1761,2285,False
DANTE_GABRIEL_ROSSETTI_21.jpg,1,645,517,1013,517,645,733,1013,733,False
DANTE_GABRIEL_ROSSETTI_21.jpg,2,392,179,478,179,392,370,478,370,False
DANTE_GABRIEL_ROSSETTI_21.jpg,3,563,315,1281,315,563,1558,1281,1558,False
DANTE_GABRIEL_ROSSETTI_21.jpg,4,23,440,1099,440,23,2380,1099,2380,False
DANTE_GABRIEL_ROSSETTI_21.jpg,5,1118,384,1785,384,1118,1792,1785,1792,False
DANTE_GABRIEL_ROSSETTI_21.jpg,6,56,472,690,472,56,1522,690,1522,False
DANTE_GABRIEL_ROSSETTI_21.jpg,7,778,568,1313,568,778,1372,1313,1372,False
DANTE_GABRIEL_ROSSETTI_21.jpg,8,599,265,1182,265,599,711,1182,711,False
DANTE_GABRIEL_ROSSETTI_21.jpg,9,531,336,954,336,531,1348,954,1348,False
DANTE_GABRIEL_ROSSETTI_21.jpg,10,125,1103,755,1103,125,1410,755,1410,False
DANTE_GABRIEL_ROSSETTI_21.jpg,11,601,304,878,304,601,622,878,622,False
